object_id,title,culture,cultural_context,period,country
320054,Miniature tabard,Inca and Spanish,Other,,Bolivia or Peru
320347,Feathered serpent head,Teotihuacan,Other,,Mexico
320804,Hanging (?) Fragment,Peruvian,Other,,Peru
320962,Tälsäm or yä bərana kətab (healing scroll),Tigrinya peoples,Other,,Ethiopia
322610,Relief panel,Assyrian,Other,Neo-Assyrian,
322619,Relief panel,Assyrian,Other,Neo-Assyrian,
322621,Relief panel,Assyrian,Other,Neo-Assyrian,
322973,Plate with king hunting rams,Sasanian,Other,Sasanian,
323479,Drachm,Parthian,Other,Parthian,
324139,Jar with paired birds in panels,Iran,Other,,
324324,Handle of a flywhisk or fan,Assyrian,Other,Neo-Assyrian,
324596,Plaque with tribute bearers,Assyrian,Other,Neo-Assyrian,
324599,Incised furniture plaque with two ibexes flanking a stylized palmette tree,Assyrian,Other,Neo-Assyrian,
325818,Necklace with the head of the Egyptian god Bes,Achaemenid,Other,Achaemenid,
327315,Miniature vessel,,Other,,
327399,Vessel terminating in the forepart of a stag,Hittite,Other,Hittite Empire,
328593,Monstrous male figure,Bactria-Margiana Archaeological Complex,Other,Bronze Age,
329077,Head of a ruler,,Other,Early Bronze Age,
347927,Songs of Innocence: The Divine Image,,East_Asia,,
383883,Tobias and the Angel (small plate),,Other,,
430812,"The True Issue or ""Thats Whats the Matter""",,Other,,
435621,Joan of Arc,,Other,,
435678,The Temptation of Saint Anthony,,Other,,
435702,The Horse Fair,,Other,,
435762,Virgin and Child,,Other,,
435844,The Musicians,,Other,,
435864,A Woman with a Dog,,Other,,
435868,The Card Players,,Other,,
435897,Head of Christ (Ecce Homo),,Other,,
435991,A Woman Reading,,Other,,
435997,The Storm,,Other,,
436098,The Crucifixion,,Other,,
436099,The Nativity with Donors and Saints Jerome and Leonard,,Other,,
436102,Virgin and Child with Four Angels,,Other,,
436180,The Natchez,,Other,,
436482,Prayer in the Mosque,,Other,,
436485,Vanitas Still Life,,Other,,
436513,The Presentation of Christ in the Temple,,Other,,
436607,An Allegory,,Other,,
436658,Hermann von Wedigh III (died 1560),,Other,,
436803,The Adoration of the Magi,,Other,,
436838,The Fortune-Teller,,Other,,
436884,The Chess Players,,Other,,
436885,Scene from a Novella,,Other,,
436896,Portrait of a Woman with a Man at a Casement,,Other,,
437059,Young Woman with a Pink,,Other,,
437061,Salvator Mundi,,Other,,
437159,Young Woman Knitting,,Other,,
437173,Don Andrés de Andrade y la Cal,,Other,,
437202,Christ Bearing the Cross,,Other,,
437261,The Penitence of Saint Jerome,,Other,,
437368,Holy Family with an Angel,,Other,,
437422,Charity,,Other,,
437508,Self-Portrait,,Other,,
437654,Circus Sideshow (Parade de cirque),,Other,,
437769,Clothing the Naked,,Other,,
437868,"Don Gaspar de Guzmán (1587–1645), Count-Duke of Olivares",,Other,,
437873,"Philip IV (1605–1665), King of Spain",,Other,,
437878,A Maid Asleep,,Other,,
437898,"Madame Grand (Noël Catherine Vorlée, 1761–1835)",,Other,,
437936,Ariadne,,Other,,
438779,A Peasant Family,,Other,,
438821,Ia Orana Maria (Hail Mary),,Other,,
439327,Christ Blessing,,Other,,
444859,Coin,,South_Asia,,India
444863,Coin with Sign of Libra,,South_Asia,,India
444865,Coin,,South_Asia,,India
444866,Coin,,South_Asia,,India
446273,Seal Ring with Inscription,,Other,,Iran or Central Asia
446561,"""Alexander is Lowered into the Sea"", Folio from a Khamsa (Quintet) of Amir Khusrau Dihlavi",,South_Asia,,India
446563,"""A Muslim Pilgrim Learns a Lesson in Piety from a Brahman"", Folio from a Khamsa (Quintet) of Amir Khusrau Dihlavi",,South_Asia,,India
447298,"""Kai Kavus Attempts to Fly to Heaven"", Folio from a Shahnama (Book of Kings)",,South_Asia,,India
447752,"""Misbah the Grocer Brings the Spy Parran to his House"", Folio from a Hamzanama (The Adventures of Hamza)",,South_Asia,,India
447804,Composite Camel with Attendant,,Other,,Iran
448183,"""Krishna Holds Up Mount Govardhan to Shelter the Villagers of Braj"", Folio from a Harivamsa (The Legend of Hari (Krishna))",,South_Asia,,present-day Pakistan
448280,"""Bizhan Slaughters the Wild Boars of Irman"", Folio from a Shahnama (Book of Kings)",,Other,,Iran
448587,Panel from a Tent Lining (Qanat),,South_Asia,,India
448938,"""The Funeral of Isfandiyar,"" Folio from a Shahnama (Book of Kings)",,Other,,Iran
448959,Head from a Figure with a Beaded Headdress,,Other,,Iran
450483,Head of a Central Asian Figure in a Pointed Cap,,Other,,Iran
450761,Mold Fragment with Musicians,,Other,,Iran
451262,"""Great Hornbill"", Folio from the Shah Jahan Album",,South_Asia,,India
451264,"""Jahangir and his Father, Akbar"", Folio from the Shah Jahan Album",,South_Asia,,India
451270,"""Shah Jahan on a Terrace, Holding a Pendant Set With His Portrait"", Folio from the Shah Jahan Album",,South_Asia,,India
451286,"""Rosette Bearing the Names and Titles of Shah Jahan"", Folio from the Shah Jahan Album",,South_Asia,,India
451287,"""Page of Calligraphy Illuminated with Animals and Plants in a Field of Flowers"", Folio from the Shah Jahan Album",,South_Asia,,India
451302,"""Design for the Water Clock of the Peacocks"", from the Kitab fi ma'rifat al-hiyal al-handasiyya (Book of the Knowledge of Ingenious Mechanical Devices) by Badi' al-Zaman b. al Razzaz al-Jazari",,Other,,probably Syria or Iraq
451308,Woman  Applying Henna,,Other,,Iran
451725,"""The Concourse of the Birds"", Folio 11r from a Mantiq al-Tayr (Language of the Birds)",,Other,,Iran
451909,Standing Figure with Jeweled Headdress,,Other,,Iran
452032,Pierced Bowl Signed by Hasan al-Qashani,,Other,,Iran
452102,Damascus Room,,Other,,Syria
452188,Carpet Fragment,,Other,,Iran
452211,Pyxis Depicting Standing Saints or Ecclesiastics and the Entry into Jerusalem with Christ Riding a Donkey,,Other,,Syria
452364,Mirror with Split-Leaf Palmette Design Inlaid with Gold,,Other,,Turkey
452651,"""Isfandiyar's Third Course: He Slays a Dragon"", Folio from a Shahnama (Book of Kings)",,Other,,Iran
452740,Seal Stone,,Other,,Iran
453193,"""Kai Khusrau Crosses the Sea"", Folio from a Shahnama (Book of Kings) of Firdausi",,South_Asia,,India
453212,"""Rescue of Bizhan by Piran"", Folio from a Shahnama (Book of Kings) of Firdausi",,South_Asia,,India
453267,"""Death of Farud"", Folio from a Shahnama (Book of Kings) of Firdausi",,South_Asia,,India
453312,Jewelry Elements,,Other,,Iran or Central Asia
453317,Confronted Animal Rug,,Other,,Turkey
453354,A Syce (Groom) Holding Two Carriage Horses,,South_Asia,,India
453975,Chand Bibi Hawking with Attendants in a Landscape,,South_Asia,,India
454344,"""Rama Receives Sugriva and Jambavat, the Monkey and Bear Kings"", Folio from a Ramayana",,South_Asia,,India
454353,Lacquered Pen Box  (Qalamdan),,South_Asia,,
454357,"""The Awakening of Kumbhakarna in the Golden City of Lanka"", Folio from a Ramayana",,South_Asia,,India
454359,"""The Death of King Dasharatha, the Father of Rama"", Folio from a Ramayana",,South_Asia,,India
454738,Goa Stone and Gold Case,,South_Asia,,India
456342,Futuh al-Haramayn (Description of the Holy Cities),,South_Asia,,India
503651,Pipa (琵琶 ),Chinese,East_Asia,Ming dynasty (1368-1644),China
678610,Set of Sacrificial Weapons,"Indian, Bengal (?) or Nepalese",Himalayan,,Nepal
752005,"Welcoming Descent of Amida, the Buddha of Infinite Light, and His Holy Retinue",Japan,East_Asia,Kamakura (1185–1333)–Nanbokuchō (1336–92) period,
752008,Dreaming Cat,Japan,East_Asia,Edo period (1615–1868),
